term,count
semakin,3756
bripka,3741
melawan,3736
aksi,3724
kat,3720
time,3719
waspada,3713
wilayah,3704
koramil,3697
makassar,3672
kl,3651
aktif,3649
coronavirus,3641
alhamdulillah,3629
s,3629
lakukan,3629
aiptu,3626
dg,3605
tinggi,3598
informasi,3597
ketemu,3588
jatim,3585
sanitizer,3579
sesuai,3579
lancar,3578
membantu,3576
kec,3565
betul,3556
kantor,3553
hi,3550
lepas,3534
tes,3517
macam,3515
desember,3507
kangen,3502
swab,3498
hindari,3491
halo,3488
kabar,3478
berlalu,3473
yah,3441
dilaksanakan,3426
denda,3422
ilang,3420
rs,3414
kecil,3410
tenaga,3406
kab,3406
peraturan,3403
dekat,3403
ah,3403
polda,3395
15,3390
jerawat,3388
00,3372
nabi,3372
penyakit,3371
like,3367
total,3365
termasuk,3352
sini,3351
meningkat,3348
50,3341
nah,3327
mu,3326
teib,3322
dimanapun,3297
umkm,3297
walaupun,3290
bapak,3290
shopee,3287
tersebut,3284
13,3278
melanggar,3275
tni,3275
tambah,3271
akhirnya,3262
barat,3259
petugas,3250
manusia,3247
kampanye,3240
alasan,3235
sambang,3232
tadi,3228
wkwkwk,3227
enak,3221
bersatu,3209
cepet,3204
gara2,3193
dirumah,3192
merah,3192
foto,3191
30,3184
terdampak,3184
ketua,3168
hoax,3165
pa,3151
hallo,3147
apapun,3139
loh,3132
bahkan,3131
rame,3120
tutup,3112
ramai,3108
x,3105
pesan,3104
14,3101
selatan,3089
nk,3085
pilihanmu,3083
pendisiplinan,3075
sang,3064
kebiasaan,3061
butuh,3061
murah,3060
laksanakan,3057
politik,3052
min,3051
asal,3048
ri,3043
taati,3040
mengatakan,3035
anies,3032
polisi,3030
peningkatan,3021
umum,3008
sbb,3004
dpt,3002
smafren,3001
sukseskan,2998
tubuh,2998
calon,2994
provinsi,2988
jelas,2986
kurang,2985
menghadapi,2983
tiba,2981
ye,2976
womanfeeds,2975
media,2972
blm,2967
setia,2959
pke,2958
bagaimana,2958
wisata,2955
pelanggaran,2945
bermasker,2932
hampir,2930
mending,2916
arus,2913
emg,2913
wujudkan,2892
sana,2892
pilihmu,2891
uji,2888
tiga,2887
pe,2886
sedih,2870
ribu,2866
lomba,2859
peduli,2858
sy,2856
ama,2850
bangkit,2844
khofifah,2841
tanggal,2825
unit,2814
kemaren,2811
klaster,2811
haloo,2787
sabah,2782
terakhir,2781
terpapar,2781
bisnis,2777
konser,2775
pp,2775
vaksinasi,2775
tegas,2771
ta,2763
obat,2763
mampu,2762
stay,2757
meski,2755
l,2748
collegemenfess,2748
kuliah,2747
darurat,2743
sebelumnya,2740
keren,2732
bnpb,2723
rp,2714
babinsa,2713
sabhara,2712
kulit,2702
rajin,2701
lewat,2692
putus,2691
harusnya,2691
mitega,2686
adaptasi,2685
lindungi,2685
pasrah,2680
cnnindonesia,2655
rasanya,2654
bs,2647
zona,2636
gelar,2633
sejuk,2630
efek,2621
gerakan,2619
lucu,2617
mantap,2615
pastikan,2614
kematian,2614
biasanya,2613
news,2613
tinggal,2612
cerdas,2609
pilihan,2604
nyaman,2594
pukul,2591
pihak,2587
hahaha,2580
kira,2577
pencipta,2569
melindungi,2558
jm,2545
transisi,2537
untung,2536
ho,2534
bagikan,2532
tentukan,2528
humas,2527
beda,2520
ikhtiyar,2519
bayar,2513
berikut,2513
kamtibmas,2504
jadilah,2501
taat,2499
berbagai,2499
bingung,2485
tidur,2474
pasal,2469
satunya,2464
perkembangan,2463
agama,2462
gegara,2460
tema,2459
gila,2454
bersih,2453
17,2453
gemar,2449
besok,2446
pd,2445
dikasih,2442
pelanggar,2442
sebanyak,2440
ke,2433
pesta,2428
co,2425
produk,2418
btw,2411
gatau,2406
omnibus,2405
ha,2403
massa,2403
spirulina,2400
gaada,2399
kini,2393
tunggu,2391
bogor,2391
keliatan,2390
siang,2377
16,2375
bali,2373
mcm,2371
korea,2370
order,2370
keadaan,2368
terkena,2367
tepat,2365
kerajaan,2363
berai,2359
pasisipasinya,2356
desain,2354
law,2353
komen,2352
cuti,2348
takde,2341
ajak,2336
free,2334
sabun,2333
menentukan,2329
karantina,2329
18,2327
tanya,2325
ganteng,2325
dapatkan,2319
razia,2319
bandung,2318
seorang,2318
kluster,2317
persen,2316
gabungan,2316
kel,2312
tps,2312
alami,2311
menghimbau,2309
berani,2309
kelas,2308
line,2296
mo,2292
pekerja,2290
cuman,2288
izin,2285
kayaknya,2284
j,2282
badan,2276
surat,2275
berjuang,2273
disini,2272
mulu,2270
herbal,2265
bahan,2265
sayang,2262
usah,2261
melihat,2261
paisipasinya,2260
cerita,2259
anjir,2252
petamburan,2250
kakak,2247
beneran,2246
berhasil,2240
terimakasih,2240
memilih,2240
sop,2227
isolasi,2227
bahaya,2226
sukses,2220
hadir,2219
pembagian,2217
mudah,2214
raya,2209
negatif,2205
tpi,2200
berbeda,2199
dana,2198
maskermu,2184
makanya,2178
segala,2178
sektor,2177
berapa,2173
indo,2170
sanksi,2168
terkini,2167
jumat,2167
ntar,2162
lonjakan,2160
kamis,2159
dinyatakan,2156
orang2,2155
edukasi,2155
bantuannya,2150
menjual,2150
tingkat,2149
senin,2148
de,2147
baju,2146
dok,2141
rapid,2139
dh,2135
pusat,2134
asli,2118
meningkatkan,2116
km,2112
kapolsek,2110
himbau,2109
korona,2108
suruh,2107
saling,2104
kecamatan,2103
te,2102
kampung,2101
beri,2101
tol,2098
bareng,2095
positive,2092
kuat,2091
serius,2091
bentuk,2090
perusahaan,2089
msh,2088
ja,2086
membagikan,2085
terbaik,2085
kebijakan,2083
pemulihan,2080
haha,2077
usai,2076
100,2070
terlalu,2069
area,2068
ingatkan,2065
nyari,2061
kedua,2058
masi,2058
semuanya,2057
berlaku,2056
solusi,2053
utama,2053
rutin,2052
atasi,2050
undang,2047
menjelang,2044
divhumas,2043
24,2040
hehe,2040
aceh,2039
kumpul,2038
mengingatkan,2037
mikir,2035
perekonomian,2023
berharap,2019
rambut,2017
kendaraan,2016
retak,2015
r,2010
jarang,2004
ba,2003
pentingnya,1997
china,1992
kontak,1990
menurun,1988
lingkungan,1986
jabar,1984
cm,1982
tips,1982
sa,1979
m,1976
22,1971
mengikuti,1971
seru,1970
groboganpolres,1969
lihat,1969
makanan,1966
yaaa,1965
lamongan,1963
bijak,1963
first,1963
muda,1962
sebuah,1962
guru,1962
ttp,1961
fokus,1958
bupati,1957
pulak,1956
om,1956
gabisa,1954
isi,1952
suara,1948
bund,1944
sebentar,1944
bekerja,1943
sempat,1942
mandiri,1942
gejala,1933
open,1932
doa,1931
sejumlah,1930
sadar,1929
